"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267723",32.6196305501819,2.63703831678967,0.446101116974617,5.91130175748857,3.39414584787622e-09,7.03084410663577e-08
"ENSG00000040608",293.717967983576,4.35559181798121,0.736944227081187,5.91034118719186,3.41399859592487e-09,7.06783508269146e-08
"ENSG00000101333",35.8858281533463,6.23202668922338,1.05524139517169,5.90578299689372,3.50975721829273e-09,7.26183529125964e-08
"ENSG00000296433",37.1081158991427,5.29078458308961,0.895906660869494,5.90550870327809,3.51560224977292e-09,7.26968259728291e-08
"ENSG00000138685",50.1336326470255,-5.51292161749435,0.933860149383943,-5.90336960103841,3.56151148575415e-09,7.36031854424641e-08
"ENSG00000101187",1430.24270067961,-2.98332845435702,0.505626006502527,-5.90026702738857,3.62913733688529e-09,7.48697162184919e-08
"ENSG00000120875",11046.2217306853,-5.90211543582873,1.00067523941531,-5.89813278409616,3.67638075237275e-09,7.57770612805446e-08
"ENSG00000239322",10.1711978672881,-4.8746012961948,0.826471560906667,-5.89808715359448,3.67739733333115e-09,7.57770612805446e-08
"ENSG00000106018",294.099901354321,8.87240858207881,1.50432999744137,5.89791375374378,3.68126292508167e-09,7.58126135652575e-08
"ENSG00000164989",239.518595644302,2.21340561331892,0.375315510374528,5.89745308183548,3.69155187761227e-09,7.59803315565264e-08
"ENSG00000296488",151.793381181259,-2.9074429320555,0.49304745917216,-5.89688249674215,3.70433451773357e-09,7.61991505732627e-08
"ENSG00000166669",1099.51901772791,2.06250312593782,0.349829583804827,5.89573672845377,3.73013306579633e-09,7.66408198704395e-08
"ENSG00000187260",257.323307092107,4.49727416106808,0.762813617395787,5.89563958811011,3.73232833912805e-09,7.66414692339673e-08
"ENSG00000274092",15.781335508702,-4.22748808268768,0.717076091035834,-5.89545256847285,3.73655833533911e-09,7.66838756398506e-08
"ENSG00000268047",30.4407304975034,2.28713081704418,0.388284755830159,5.89034409078012,3.85392316049238e-09,7.90009642308803e-08
"ENSG00000272505",58.9929243187939,4.03305875812683,0.684930381074306,5.88827546502028,3.90246277035367e-09,7.99497028637754e-08
"ENSG00000267275",58.7450574838706,3.9767038288775,0.675426772074078,5.88769055846863,3.91629497862757e-09,8.01867056259802e-08
"ENSG00000162777",1504.21584731413,-2.25549856635023,0.383118944135844,-5.88720187522361,3.92788822339736e-09,8.03776179371353e-08
"ENSG00000186047",23.3490690570887,5.26348804663775,0.894160320544444,5.88651489638107,3.94424222370787e-09,8.06656743927136e-08
"ENSG00000211978",57.4463879408293,9.03459445636182,1.53524333488743,5.88479640396829,3.98544290571936e-09,8.14244351333877e-08
"ENSG00000286999",11.5637986410231,6.71756831328532,1.14151644419121,5.88477577127228,3.98594010844374e-09,8.14244351333877e-08
"ENSG00000187922",485.417538548139,7.79164498334031,1.32430347268518,5.88357966587663,4.0148670545477e-09,8.1920864519694e-08
"ENSG00000107771",2011.70053088032,-2.17411103709319,0.369541606202468,-5.88326456507855,4.02252148046254e-09,8.20297961318042e-08
"ENSG00000138760",1522.23370881254,2.54917517665068,0.433346262247715,5.88253643501715,4.04026358299241e-09,8.23441982950271e-08
"ENSG00000003402",11723.6472078637,-2.48606521680157,0.422729004012734,-5.88099040568004,4.07818808104008e-09,8.30693376691211e-08
"ENSG00000273706",35.9331723686648,-5.98500268351336,1.01829170377747,-5.87749331680823,4.16525526308894e-09,8.47453600971491e-08
"ENSG00000143365",59.9335774956068,-5.07097664694401,0.862884862249342,-5.87677089817655,4.18346549853853e-09,8.5067000510466e-08
"ENSG00000165521",139.086105253963,-5.39855565120217,0.918718543467287,-5.87618013110715,4.19841472065251e-09,8.53220001347981e-08
"ENSG00000232973",88.9648983617151,-3.25450438451002,0.553904944806831,-5.87556477879972,4.21404134490264e-09,8.5590465894003e-08
"ENSG00000163661",24.9819271256975,6.58933241328822,1.12168040270849,5.87451862168325,4.24073810155196e-09,8.60833381278932e-08
"ENSG00000197121",1032.5647211865,-3.97611777688513,0.676995598231996,-5.87318113628646,4.27510906294823e-09,8.67313363274641e-08
"ENSG00000198576",252.813282490727,5.63746489775616,0.960070914261025,5.87192551510153,4.30762290216437e-09,8.73409378594542e-08
"ENSG00000067955",6037.8441288994,-2.14534541775471,0.365467233173749,-5.8701443604789,4.35415838561429e-09,8.82339807409778e-08
"ENSG00000073670",88.3853416613058,2.48925145669607,0.424113512555742,5.86930475686955,4.37626367408931e-09,8.86312246218363e-08
"ENSG00000164161",137.80700111321,5.90336422103526,1.00622232570625,5.8668587152365,4.44128805216202e-09,8.98967459335332e-08
"ENSG00000080561",127.847440619348,-6.21232871782909,1.05966360284833,-5.86254798327566,4.55817829176181e-09,9.21920123066581e-08
"ENSG00000296880",15.9434779241142,2.82655542302817,0.48214282775437,5.86248567917756,4.55988949131232e-09,9.21920123066581e-08
"ENSG00000102096",5397.74172145023,-2.54144950323572,0.43380170881107,-5.85855115739662,4.66922784889017e-09,9.43162165873163e-08
"ENSG00000284543",324.010767009474,5.78270012399036,0.987059239467006,5.8585137474757,4.67027959726026e-09,9.43162165873163e-08
"ENSG00000229839",100.833061428012,2.47103115777311,0.421848622719296,5.85762528236905,4.69532590584823e-09,9.47679967162143e-08
"ENSG00000262155",155.771575414042,3.7987403118017,0.648918947006257,5.85395191391302,4.80027466517666e-09,9.6831053069412e-08
"ENSG00000160593",3887.0949877851,-5.03779641176357,0.860814765168339,-5.85235827219854,4.84651199681468e-09,9.77081092493851e-08
"ENSG00000289035",31.7448493585544,5.07261501804519,0.86711011147839,5.85002406372193,4.91501899060306e-09,9.90328797981464e-08
"ENSG00000180479",130.148056355508,2.34686283035438,0.401197038919541,5.84965142483278,4.9260424801066e-09,9.91985655090029e-08
"ENSG00000133317",32.9229600744979,8.2315751485854,1.40726705189086,5.84933409584565,4.93544874192186e-09,9.9331514395657e-08
"ENSG00000291261",146.358079505641,3.08101169658763,0.52692778585048,5.84712322887806,5.00146999683277e-09,1.00603106319029e-07
"ENSG00000283632",35.6651646990264,7.10053638593793,1.21439509489302,5.84697386855258,5.00596107387647e-09,1.00636295776874e-07
"ENSG00000267152",32.6412166841373,4.83323064372354,0.826828641057728,5.84550462299006,5.0503491046276e-09,1.01471052741985e-07
