"Gene","AUC"
"ENSG00000267272",0.857142857142857
"ENSG00000277855",0.857142857142857
"ENSG00000298887",0.857142857142857
"ENSG00000300213",0.857142857142857
"ENSG00000091181",0.848214285714286
"ENSG00000104415",0.848214285714286
"ENSG00000121552",0.848214285714286
"ENSG00000130598",0.848214285714286
"ENSG00000244953",0.848214285714286
"ENSG00000296154",0.848214285714286
"ENSG00000303430",0.848214285714286
"ENSG00000260907",0.848214285714286
"ENSG00000288929",0.848214285714286
"ENSG00000294712",0.848214285714286
"ENSG00000113389",0.848214285714286
"ENSG00000229563",0.848214285714286
"ENSG00000285639",0.848214285714286
"ENSG00000301903",0.848214285714286
"ENSG00000005381",0.839285714285714
"ENSG00000110077",0.839285714285714
"ENSG00000119535",0.839285714285714
"ENSG00000157613",0.839285714285714
"ENSG00000159648",0.839285714285714
"ENSG00000168890",0.839285714285714
"ENSG00000188306",0.839285714285714
"ENSG00000229766",0.839285714285714
"ENSG00000235837",0.839285714285714
"ENSG00000236069",0.839285714285714
"ENSG00000254551",0.839285714285714
"ENSG00000270021",0.839285714285714
"ENSG00000271270",0.839285714285714
"ENSG00000273064",0.839285714285714
"ENSG00000273599",0.839285714285714
"ENSG00000276651",0.839285714285714
"ENSG00000289496",0.839285714285714
"ENSG00000289864",0.839285714285714
"ENSG00000297431",0.839285714285714
"ENSG00000300809",0.839285714285714
"ENSG00000304103",0.839285714285714
"ENSG00000305493",0.839285714285714
"ENSG00000007944",0.839285714285714
"ENSG00000008441",0.839285714285714
"ENSG00000014257",0.839285714285714
"ENSG00000019485",0.839285714285714
"ENSG00000042980",0.839285714285714
"ENSG00000088827",0.839285714285714
"ENSG00000088882",0.839285714285714
"ENSG00000100079",0.839285714285714
"ENSG00000101384",0.839285714285714
"ENSG00000101493",0.839285714285714
"ENSG00000103202",0.839285714285714
"ENSG00000105609",0.839285714285714
"ENSG00000106484",0.839285714285714
"ENSG00000111752",0.839285714285714
"ENSG00000112149",0.839285714285714
"ENSG00000133477",0.839285714285714
"ENSG00000136869",0.839285714285714
"ENSG00000138798",0.839285714285714
"ENSG00000145002",0.839285714285714
