"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000419396.6",28.5571305143709,21.8631078270301,2.98137176869215,7.33323769166193,2.24657966010313e-13,6.82619217972943e-11
"ENST00000688828.3",10.7317469195982,21.8403704348419,2.98297687728938,7.32166937032652,2.44904960764283e-13,7.4193122134445e-11
"ENST00000371079.6",10.9652891790745,-21.923743696635,2.99471371333787,-7.32081454029843,2.46470275406848e-13,7.44464196068383e-11
"ENST00000742451.1",10.8851013599209,-21.9177723772554,2.9947344649726,-7.31876987212486,2.50254327679641e-13,7.53664161527952e-11
"ENST00000534928.5",12.9846853630304,-21.9034640840562,2.99442456320436,-7.31474900159686,2.57862928183763e-13,7.7429411550191e-11
"ENST00000742484.1",13.0779579267537,-21.8980474370972,2.99441390284167,-7.31296612546322,2.61308908243109e-13,7.8234048003706e-11
"ENST00000672715.1",13.4812438666226,-21.8964177950707,2.99436536716197,-7.31254042515992,2.62138377056486e-13,7.82529044702567e-11
"ENST00000567974.5",17.7779010173665,21.8036291624947,2.98196094532604,7.31184263049118,2.63503613957741e-13,7.84311208740165e-11
"ENST00000666912.1",10.4909976027715,21.807838859061,2.98303195306783,7.31062864969759,2.65895433912607e-13,7.89129724838366e-11
"ENST00000359486.8",10.6944359752286,-21.8894279931362,2.99476070487293,-7.30924108811727,2.68655371382844e-13,7.95009647263441e-11
"ENST00000646974.2",10.5538404394877,-21.8759637939234,2.99479002751302,-7.30467364755116,2.77940511750265e-13,8.20109267806931e-11
"ENST00000621890.4",10.481188303356,-21.8673272105845,2.99480281432549,-7.30175860192973,2.84030528801955e-13,8.33508811698981e-11
"ENST00000338372.7",10.4917710192904,-21.8662932146416,2.99480871810178,-7.30139894493871,2.84790936342733e-13,8.33508811698981e-11
"ENST00000666309.1",10.4945687932154,-21.8660154643685,2.99479780187723,-7.30133281474367,2.84930970079187e-13,8.33508811698981e-11
"ENST00000678629.1",10.2664739835188,21.7781465217797,2.98310239025991,7.30050252143113,2.86694920084552e-13,8.36272699319778e-11
"ENST00000714242.1",10.214081974511,21.7723262306854,2.98311991373694,7.29850856159895,2.90974994414272e-13,8.46339319223255e-11
"ENST00000569274.1",10.1598195375936,21.7584692019355,2.98312583980344,7.29384892571919,3.01223195596633e-13,8.73658514433154e-11
"ENST00000409538.5",10.3068640276515,-21.8372187821355,2.99483283599274,-7.29163194676167,3.06222777822379e-13,8.85643117739948e-11
"ENST00000221735.12",10.096113231053,21.7502747810559,2.98315072800803,7.29104117229082,3.07568748127359e-13,8.87023056569673e-11
"ENST00000672179.2",9.88967326132367,21.7285881907535,2.98320724028665,7.28363349931587,3.24947051964998e-13,9.34501954260916e-11
"ENST00000675306.2",9.9100908515145,21.7244687231973,2.98320382926988,7.28226094041793,3.28271323460599e-13,9.41410231069183e-11
"ENST00000648251.2",9.87736695866882,21.7232557934532,2.98320153951788,7.28185994331576,3.29248807704677e-13,9.41568586134273e-11
"ENST00000556281.1",9.82953231101791,21.7082288857791,2.9831891263245,7.27685304770641,3.41697115046159e-13,9.74438088447136e-11
"ENST00000644267.1",9.7108773291957,21.7003213651092,2.9832579366928,7.27403457079741,3.48906634343314e-13,9.92226323677213e-11
"ENST00000469796.7",9.82451462254722,21.6983853192011,2.98322631859951,7.27346268833785,3.50387607053597e-13,9.93670054636746e-11
"ENST00000397274.6",9.5930012441797,21.6849546770431,2.98329508497654,7.26879308260368,3.62713487684121e-13,1.02577584759377e-10
"ENST00000367177.4",9.91345371585018,-21.7682736691876,2.99491483275683,-7.26841158589803,3.63739097181377e-13,1.02583468642371e-10
"ENST00000585630.5",9.6619721442831,-21.7570858434206,2.99497759698472,-7.26452373644637,3.74354886138918e-13,1.05286538266062e-10
